西安,经营,碑林,乳制品,整装,陕西省产品质量监督检验研究院,合格
巴彦淖尔,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
呼和浩特,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
呼和浩特,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
呼和浩特,经营,新城,乳制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,临潼,糕点,整装,陕西省产品质量监督检验研究院,合格
泉州,经营,新城,糕点,整装,陕西省产品质量监督检验研究院,合格
product_unit_address标示生产单位地址,经营,新城,糕点,整装,陕西省产品质量监督检验研究院,合格
福州,经营,碑林,蜂产品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,长安,蜂产品,整装,陕西省产品质量监督检验研究院,合格
上海,经营,碑林,蜂产品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,碑林,蜂产品,整装,陕西省产品质量监督检验研究院,合格
安阳,经营,雁塔,豆制品,整装,陕西省产品质量监督检验研究院,合格
上海,经营,灞桥,豆制品,整装,陕西省产品质量监督检验研究院,合格
广安,经营,未央,豆制品,整装,陕西省产品质量监督检验研究院,合格
宜宾,经营,未央,豆制品,整装,陕西省产品质量监督检验研究院,合格
重庆,经营,灞桥,豆制品,整装,陕西省产品质量监督检验研究院,合格
重庆,经营,雁塔,肉制品,整装,陕西省产品质量监督检验研究院,合格
郑州,经营,碑林,肉制品,整装,陕西省产品质量监督检验研究院,合格
如皋,经营,新城,肉制品,整装,陕西省产品质量监督检验研究院,合格
如皋,经营,新城,肉制品,整装,陕西省产品质量监督检验研究院,合格
白银,经营,未央,肉制品,整装,陕西省产品质量监督检验研究院,合格
成都,经营,临潼,肉制品,整装,陕西省产品质量监督检验研究院,合格
佛山,经营,长安,糕点,整装,陕西省产品质量监督检验研究院,合格
西安,经营,碑林,乳制品,整装,陕西省产品质量监督检验研究院,合格
咸阳,经营,碑林,肉制品,整装,陕西省产品质量监督检验研究院,合格
北京,经营,碑林,肉制品,整装,陕西省产品质量监督检验研究院,合格
静宁,经营,碑林,肉制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,临潼,肉制品,整装,陕西省产品质量监督检验研究院,合格
咸阳,经营,碑林,肉制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,未央,肉制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,临潼,糕点,整装,陕西省产品质量监督检验研究院,合格
临沂,经营,碑林,糕点,整装,陕西省产品质量监督检验研究院,合格
西安,经营,碑林,糕点,整装,陕西省产品质量监督检验研究院,合格
襄阳,经营,碑林,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
牡丹江,经营,碑林,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
龙泉,经营,碑林,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
深圳,经营,碑林,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
昆明,经营,碑林,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
彭州,经营,灞桥,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
呼和浩特,经营,临潼,乳制品,整装,陕西省产品质量监督检验研究院,合格
太仓,经营,未央,肉制品,整装,陕西省产品质量监督检验研究院,合格
彭州,经营,灞桥,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
巴彦淖尔,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
